Uid,Sentiment
20347,neutral
17071,neutral
21456,neutral
19188,positive
23584,positive
33618,positive
14079,neutral
40016,neutral
26043,positive
24621,positive
11956,negative
32473,neutral
19375,negative
23725,positive
40893,positive
34952,positive
11679,positive
12850,positive
15066,neutral
16911,neutral
31772,neutral
25323,positive
6647,neutral
22086,negative
19961,neutral
7273,neutral
30846,negative
14255,negative
15487,positive
24062,neutral
8519,negative
17628,negative
12229,positive
35671,negative
13960,neutral
19266,positive
11976,neutral
13564,positive
33722,neutral
42405,neutral
22115,neutral
31285,negative
28767,neutral
15210,neutral
6881,neutral
43131,neutral
12978,neutral
27968,neutral
23350,positive
26619,negative
44120,positive
23431,neutral
13326,positive
2130,neutral
15753,neutral
11501,negative
29860,positive
44022,positive
24618,neutral
12570,neutral
7711,neutral
8776,neutral
529,positive
7841,negative
28958,neutral
28669,negative
23907,neutral
8772,negative
4313,negative
19308,negative
33543,neutral
4142,positive
38761,neutral
35295,neutral
10120,neutral
22519,neutral
26715,negative
27532,positive
17239,positive
29787,positive
26363,neutral
27751,positive
28178,positive
23674,negative
21032,neutral
30262,neutral
22491,positive
44145,neutral
5193,positive
7236,neutral
34731,positive
12435,neutral
11480,positive
15564,neutral
12788,negative
2131,neutral
12887,positive
15335,positive
30432,neutral
2145,neutral
7700,positive
29935,neutral
19333,positive
906,neutral
19902,neutral
41384,neutral
30636,neutral
11204,neutral
37654,neutral
18912,neutral
21509,positive
22713,positive
33238,neutral
43067,positive
44024,neutral
1910,neutral
17343,positive
19821,negative
29916,neutral
27775,neutral
14349,positive
40060,positive
15383,neutral
25800,positive
41883,positive
885,positive
25075,neutral
23881,neutral
14680,neutral
28469,neutral
25431,neutral
39275,neutral
17582,positive
4175,neutral
13342,neutral
2425,neutral
42115,neutral
31855,neutral
37742,neutral
22131,neutral
8241,negative
21100,neutral
33470,neutral
21845,neutral
12870,positive
40274,positive
18004,negative
13282,neutral
37153,positive
6016,positive
36612,neutral
37402,positive
16232,neutral
37417,neutral
4372,positive
39517,positive
22376,neutral
25586,neutral
20321,neutral
24261,positive
10402,neutral
2674,neutral
31314,neutral
38635,neutral
19435,neutral
5530,neutral
2242,neutral
26867,positive
30589,negative
16460,neutral
26317,neutral
45054,neutral
11371,negative
14522,positive
2665,positive
22918,neutral
5301,neutral
32463,positive
9507,positive
11740,neutral
20594,neutral
1185,neutral
15254,neutral
28463,positive
19105,negative
36185,positive
18762,neutral
20302,neutral
26012,positive
28789,positive
31189,neutral
4778,neutral
7173,neutral
13116,neutral
7426,positive
21198,neutral
20152,negative
8989,positive
17955,negative
15577,negative
15186,neutral
2229,neutral
37177,negative
15993,positive
15302,negative
37477,neutral
30890,negative
35565,neutral
32452,positive
28383,neutral
32466,neutral
24453,neutral
13927,neutral
14266,positive
18965,neutral
16507,positive
17601,neutral
6191,positive
13770,neutral
23974,neutral
3851,neutral
24590,positive
22616,neutral
14497,negative
23027,neutral
25706,neutral
36296,positive
14151,negative
5055,neutral
43308,neutral
8468,neutral
23410,neutral
14537,neutral
1271,neutral
19000,neutral
27795,positive
39910,positive
36746,neutral
24737,positive
40358,positive
101,neutral
12916,positive
22720,positive
4578,neutral
10367,positive
16251,neutral
22733,negative
15189,negative
17370,positive
26695,positive
22781,positive
29188,negative
9764,negative
15966,positive
44551,positive
34519,neutral
25470,neutral
16648,neutral
43527,neutral
18881,positive
8921,neutral
36632,positive
27482,neutral
22161,neutral
16501,neutral
15277,neutral
34400,positive
8338,neutral
24189,negative
64,neutral
1025,neutral
23514,negative
32093,neutral
16098,negative
37920,neutral
16246,neutral
37727,neutral
13307,neutral
32036,positive
13510,neutral
36358,negative
18699,positive
32803,neutral
16574,negative
11662,positive
24337,neutral
13308,neutral
22476,neutral
6090,neutral
44939,negative
23919,neutral
38314,neutral
17990,negative
17253,neutral
9524,positive
21950,neutral
22272,neutral
38700,positive
36328,neutral
17571,positive
26861,positive
14705,neutral
14142,neutral
38338,neutral
25345,neutral
23729,positive
5825,neutral
13231,negative
13597,neutral
12415,neutral
27444,neutral
44956,neutral
44393,negative
20458,neutral
13265,neutral
21311,neutral
19139,neutral
34633,neutral
38785,neutral
30178,neutral
37114,neutral
19837,neutral
35253,neutral
16892,neutral
29711,neutral
12541,neutral
25626,neutral
8447,negative
10807,negative
29845,negative
24789,positive
13668,neutral
39289,neutral
1207,neutral
34554,neutral
16470,neutral
8097,negative
14687,positive
27967,neutral
9791,positive
29084,neutral
3330,positive
41453,positive
6390,positive
4417,neutral
34882,neutral
4036,positive
10592,neutral
25492,neutral
44573,positive
43682,neutral
18044,neutral
16215,positive
561,neutral
38487,negative
28870,positive
2549,negative
20593,positive
32628,positive
43688,positive
40143,positive
16866,negative
2819,neutral
30389,positive
12032,positive
5082,positive
20209,neutral
5715,positive
28867,positive
41814,negative
22500,negative
4797,neutral
19250,neutral
3495,neutral
24473,neutral
13961,negative
25781,positive
19046,neutral
2376,negative
27157,neutral
1472,positive
7758,neutral
14385,neutral
28392,negative
20051,positive
35052,positive
27033,positive
34325,negative
15312,neutral
37312,neutral
2281,positive
13756,positive
880,negative
19676,neutral
30992,neutral
24839,negative
33039,positive
16986,positive
13602,neutral
22220,positive
37864,neutral
28631,positive
576,negative
22889,positive
3983,neutral
1656,positive
41606,negative
19814,positive
31706,neutral
629,neutral
27686,positive
7350,positive
40525,positive
16119,neutral
2014,positive
13144,positive
39828,neutral
1969,positive
23750,negative
15778,neutral
26376,negative
26509,neutral
42186,neutral
38933,positive
33370,negative
33526,negative
6613,positive
17820,neutral
28839,neutral
24588,positive
23007,neutral
32657,neutral
7917,negative
40570,positive
44756,positive
3860,neutral
39485,positive
24328,positive
25443,neutral
24205,neutral
27994,negative
3561,neutral
11811,negative
17062,negative
25942,neutral
41166,positive
4840,neutral
11487,neutral
17784,positive
2993,neutral
29852,negative
19258,negative
16255,neutral
28311,negative
7901,negative
42826,positive
12959,negative
14202,neutral
34152,positive
6322,neutral
26053,positive
22844,neutral
30972,neutral
9769,neutral
28785,neutral
21107,positive
27370,neutral
20680,positive
40248,negative
37009,positive
2731,neutral
8470,negative
15467,positive
30090,positive
2861,negative
2431,positive
27609,positive
18339,neutral
19007,positive
10361,neutral
29915,neutral
22705,neutral
20655,negative
8278,neutral
42875,neutral
29086,neutral
16053,positive
17616,positive
15317,negative
37069,neutral
22460,positive
31056,neutral
15053,positive
12006,negative
35711,negative
22279,positive
26498,neutral
39811,positive
27127,positive
32721,neutral
40186,negative
10342,positive
22000,negative
36105,neutral
13830,neutral
4763,neutral
34735,neutral
11248,neutral
7548,negative
15774,neutral
28230,negative
22344,positive
17072,neutral
605,positive
14175,negative
24925,neutral
36202,negative
41650,neutral
12528,negative
41471,neutral
19438,negative
34779,positive
19678,neutral
26295,negative
43958,negative
17266,neutral
20217,negative
27636,positive
26265,positive
42522,neutral
24661,neutral
30264,positive
16084,neutral
44517,neutral
18116,negative
39857,positive
10656,neutral
26234,negative
30481,neutral
30235,negative
6241,neutral
42519,neutral
25406,negative
14712,neutral
16303,positive
23953,positive
35444,positive
26705,positive
39172,positive
33859,positive
36467,neutral
38056,neutral
27558,neutral
18884,negative
17866,positive
25378,neutral
11113,positive
3766,neutral
37840,negative
12087,positive
34450,neutral
39529,neutral
14346,neutral
24207,neutral
23570,negative
28203,negative
34966,neutral
4314,neutral
252,positive
41791,negative
35524,neutral
16480,negative
39704,negative
21999,negative
13792,positive
35514,neutral
15901,positive
26325,positive
12743,positive
15110,positive
19142,negative
23539,negative
27594,neutral
12667,neutral
32399,neutral
2450,positive
43789,neutral
26558,neutral
19296,positive
8886,neutral
22923,neutral
24609,neutral
24739,positive
13822,negative
15215,neutral
10754,neutral
15165,neutral
3975,negative
21192,neutral
30320,positive
25723,neutral
13879,negative
27562,positive
12976,neutral
4743,positive
14347,neutral
5684,neutral
19825,neutral
11299,negative
41581,positive
35232,neutral
20713,negative
23969,negative
35035,neutral
14553,neutral
32799,neutral
37493,negative
8771,neutral
12809,positive
15751,positive
3659,neutral
16317,positive
26428,positive
30372,neutral
20597,neutral
26970,positive
34878,negative
17083,positive
12657,positive
3614,negative
37899,neutral
33978,neutral
38943,neutral
20943,positive
24686,neutral
14679,negative
31745,negative
30943,neutral
14879,neutral
16386,neutral
36126,neutral
23090,negative
37504,negative
3904,neutral
16127,neutral
13989,negative
3796,positive
41820,negative
43218,negative
43337,positive
42940,neutral
29107,negative
32634,negative
15648,neutral
30713,positive
29013,positive
29772,positive
17457,positive
22646,neutral
17015,neutral
23960,negative
37292,negative
13738,negative
1859,neutral
34143,neutral
3522,positive
12790,positive
16903,positive
21329,negative
4479,positive
21014,positive
13717,negative
14761,neutral
6803,neutral
26880,negative
20142,positive
19550,negative
9510,positive
40038,neutral
10765,positive
26390,positive
39175,positive
18580,positive
13713,positive
33272,negative
35027,positive
13840,positive
21747,negative
19467,positive
2477,negative
14589,neutral
8479,negative
34264,neutral
16323,neutral
21678,positive
1008,neutral
44902,positive
3335,neutral
14921,positive
30684,positive
1934,negative
38764,neutral
35054,positive
21983,neutral
19373,negative
16465,neutral
27476,positive
15592,positive
23958,positive
43780,negative
6963,neutral
36045,negative
31727,neutral
20174,positive
20293,neutral
11657,positive
42042,neutral
28992,neutral
40422,negative
16957,positive
37838,neutral
39361,negative
15924,positive
4746,neutral
4628,positive
13823,positive
16700,neutral
1105,neutral
20017,negative
2913,positive
30047,negative
37687,negative
34535,negative
26528,negative
33744,neutral
16868,positive
2127,negative
7945,positive
13940,neutral
26459,positive
18202,negative
5499,negative
36789,positive
7621,positive
21595,positive
20310,neutral
22397,neutral
19805,positive
28070,positive
14681,neutral
1362,positive
14631,positive
9941,neutral
38786,neutral
5915,negative
26829,neutral
16022,neutral
21118,positive
42802,positive
24675,positive
26160,neutral
36316,negative
21846,negative
26719,positive
4568,positive
12971,positive
21128,neutral
14783,positive
33938,positive
5177,neutral
36111,positive
12048,negative
21609,neutral
12639,positive
24126,negative
6111,neutral
36708,positive
33784,positive
43421,neutral
24935,positive
1195,neutral
16546,positive
13609,positive
44528,neutral
24847,neutral
10598,neutral
5969,positive
45068,neutral
19473,neutral
13450,positive
18725,neutral
33525,positive
1541,neutral
31946,neutral
19307,positive
15986,negative
24491,neutral
39075,neutral
43795,positive
4785,neutral
12964,neutral
24078,positive
14999,negative
81,negative
44763,neutral
30884,neutral
22011,neutral
17767,positive
8201,positive
16915,positive
13906,neutral
11189,neutral
6773,positive
2476,positive
28883,neutral
43857,neutral
352,neutral
10804,neutral
39831,neutral
14413,neutral
5395,neutral
3706,negative
40387,neutral
5320,neutral
13102,neutral
6799,neutral
16339,positive
17274,negative
25716,positive
7981,positive
416,neutral
26966,positive
33652,neutral
33462,neutral
2175,positive
8214,neutral
26207,positive
34464,positive
18760,negative
26856,neutral
17094,neutral
12656,positive
42277,neutral
22352,negative
18251,positive
16419,neutral
21390,neutral
10162,neutral
17777,positive
36215,neutral
14328,positive
16859,negative
26483,neutral
28106,neutral
18622,negative
15904,negative
23327,neutral
5146,neutral
28825,neutral
1400,negative
7968,neutral
3726,negative
2752,neutral
7815,positive
26826,neutral
1543,neutral
2866,positive
29176,neutral
14756,negative
13481,neutral
35231,neutral
18388,negative
10052,neutral
4481,neutral
28546,positive
1316,neutral
17932,neutral
18547,positive
23407,positive
12382,neutral
25579,negative
33629,negative
28954,neutral
41501,negative
30361,neutral
4759,positive
42642,negative
28344,positive
12358,negative
8692,negative
33658,neutral
7423,neutral
24625,positive
11034,negative
22330,positive
43212,positive
8896,neutral
39918,neutral
26038,neutral
3195,positive
44616,negative
2060,negative
775,neutral
7122,neutral
24486,neutral
1476,positive
16761,neutral
13937,neutral
40391,positive
15414,neutral
3717,neutral
40634,neutral
36110,neutral
40249,negative
3249,negative
29008,positive
26145,neutral
28232,positive
32930,negative
39855,neutral
15064,negative
29863,neutral
26397,neutral
30639,negative
21035,neutral
747,neutral
41252,negative
13809,negative
6818,negative
23490,neutral
24201,positive
3517,neutral
17911,negative
24232,neutral
44357,positive
28655,positive
24557,neutral
33088,neutral
9527,neutral
8027,negative
34837,negative
41573,neutral
5102,negative
12619,neutral
30708,neutral
12810,negative
30795,negative
4045,negative
30095,neutral
17625,positive
30587,positive
37921,neutral
4762,negative
2910,positive
40832,neutral
40801,neutral
39480,positive
12661,neutral
24355,neutral
28063,negative
19966,negative
44457,neutral
13907,negative
17650,positive
5726,negative
13217,negative
10600,positive
41031,negative
13932,negative
43518,negative
35199,positive
34805,negative
16424,positive
31277,negative
45260,negative
34388,neutral
8224,negative
25924,neutral
18693,positive
35459,positive
44687,positive
20309,neutral
44672,neutral
27528,negative
19285,neutral
30154,negative
17197,positive
19351,neutral
1499,positive
37211,neutral
28395,negative
26946,negative
3551,neutral
26652,positive
19171,positive
31307,negative
6154,negative
39588,negative
29275,negative
13139,neutral
4350,positive
29359,neutral
24408,positive
35433,positive
34884,positive
27211,neutral
37267,positive
30306,neutral
38669,positive
38049,neutral
31253,negative
1539,neutral
35288,positive
38001,neutral
3623,positive
15756,neutral
26539,negative
11660,positive
32135,negative
39646,neutral
13639,positive
18409,positive
42508,neutral
17189,negative
28385,positive
7987,positive
13161,negative
33671,neutral
30206,neutral
30945,negative
21818,positive
1920,positive
3665,negative
30647,negative
15523,neutral
38347,negative
19233,neutral
4618,neutral
8050,negative
41634,positive
15710,negative
28660,neutral
26327,negative
23825,negative
11801,negative
24628,neutral
19262,negative
35841,negative
31281,positive
29811,neutral
1808,neutral
10805,neutral
15689,negative
15726,negative
9451,positive
2395,negative
23651,negative
45089,neutral
10966,negative
20080,negative
11077,negative
28625,neutral
6492,negative
2190,neutral
36249,positive
33149,positive
11838,neutral
2536,negative
37226,positive
41601,neutral
23298,negative
37671,neutral
24037,positive
24326,neutral
7194,neutral
36029,neutral
11617,negative
23130,positive
2793,neutral
22277,neutral
12212,negative
22395,neutral
21970,negative
28547,neutral
28866,negative
26742,negative
9974,neutral
25156,positive
20408,positive
27449,negative
16905,neutral
2069,neutral
14402,neutral
14302,neutral
20278,positive
31554,neutral
22638,positive
33166,positive
10466,neutral
18074,negative
28657,neutral
23816,positive
3235,neutral
37143,positive
19053,negative
33070,neutral
43506,positive
22973,negative
13465,neutral
19561,negative
25195,neutral
13390,negative
40242,negative
37880,negative
12348,neutral
337,negative
23110,negative
7942,negative
27975,positive
20106,neutral
3639,positive
3457,positive
24400,positive
4887,neutral
14667,neutral
37094,negative
7436,neutral
6497,neutral
16138,negative
5777,neutral
6297,negative
28456,negative
24112,positive
12261,neutral
18697,positive
35740,positive
22440,negative
17963,neutral
27158,negative
27228,negative
2401,neutral
36841,negative
1753,negative
42704,positive
939,neutral
14809,negative
40618,positive
2467,positive
42829,negative
20866,neutral
11924,neutral
43139,neutral
28272,neutral
41909,negative
17165,neutral
11105,neutral
10067,neutral
42283,positive
30487,positive
38331,positive
13150,neutral
45127,neutral
10626,positive
11772,neutral
2079,neutral
32665,positive
29137,negative
3010,neutral
13263,positive
42593,positive
24707,negative
40321,positive
22067,positive
22057,negative
1784,negative
9357,neutral
18085,positive
29171,negative
36464,neutral
29626,negative
14609,positive
38112,negative
27748,neutral
26165,negative
20579,negative
8276,neutral
14180,neutral
19016,neutral
17018,negative
32708,negative
32130,positive
21785,positive
19164,neutral
44732,negative
3184,negative
25580,neutral
37750,neutral
14434,negative
28615,negative
38473,negative
24732,positive
2371,neutral
18879,positive
20586,positive
28861,neutral
42691,neutral
10419,neutral
3138,neutral
2728,negative
39716,neutral
40533,neutral
10379,neutral
43401,negative
1917,positive
31041,positive
14506,neutral
32426,neutral
20613,neutral
4347,negative
29023,neutral
13480,positive
12824,neutral
12531,neutral
14933,neutral
31483,negative
19422,positive
14395,neutral
17789,positive
20970,negative
44279,neutral
4123,negative
27578,negative
19434,neutral
44736,neutral
40188,negative
18790,neutral
13781,positive
28493,neutral
16161,negative
3081,neutral
10134,positive
26027,neutral
18971,negative
1828,neutral
20569,negative
15573,neutral
27752,neutral
21830,negative
16758,positive
18179,positive
5476,positive
14352,neutral
28208,neutral
34127,positive
34272,positive
27065,neutral
14149,neutral
22986,positive
28586,neutral
13920,negative
24697,neutral
11127,positive
15722,negative
39739,neutral
19027,negative
32786,neutral
33082,positive
30066,neutral
11099,negative
45043,negative
32895,neutral
31681,positive
7597,negative
15672,negative
895,negative
44954,neutral
7338,neutral
31323,neutral
43629,neutral
27452,negative
29944,negative
1031,negative
32381,neutral
15992,positive
26103,neutral
19819,positive
38008,neutral
30604,negative
39128,positive
24970,positive
10645,neutral
18094,negative
16824,neutral
3497,positive
10285,negative
24099,positive
22659,positive
14735,neutral
17252,neutral
35171,neutral
33250,neutral
38583,negative
41834,neutral
22117,negative
36498,neutral
25201,neutral
14819,negative
34626,neutral
17719,negative
1511,neutral
12462,negative
30515,positive
32057,positive
24800,negative
42713,neutral
11088,negative
15002,positive
3439,positive
26925,neutral
12625,neutral
9286,neutral
26615,positive
31116,positive
25350,negative
15902,negative
2557,negative
30698,neutral
6005,positive
36060,negative
13277,negative
26777,negative
16042,positive
24944,neutral
3809,positive
4534,neutral
26738,neutral
1015,negative
21880,neutral
8124,neutral
4285,negative
8689,negative
11891,positive
23742,neutral
21318,positive
2982,positive
15198,negative
26494,neutral
41022,negative
10866,positive
38078,negative
8179,negative
6088,neutral
20354,neutral
14859,neutral
12379,negative
24146,neutral
41740,negative
10673,negative
12449,neutral
26623,negative
39569,positive
28273,positive
26812,neutral
44431,neutral
45206,negative
8092,neutral
22132,neutral
1334,neutral
18652,negative
14619,positive
22032,neutral
18234,positive
25158,negative
41624,neutral
8998,positive
39096,negative
37280,neutral
19889,neutral
21031,negative
20373,negative
31017,neutral
28182,neutral
24499,positive
39382,neutral
24458,neutral
4740,negative
10292,neutral
22212,neutral
17661,negative
23482,neutral
24437,neutral
18847,positive
26467,neutral
15743,negative
19246,positive
21191,neutral
9138,neutral
24645,neutral
30794,negative
26031,neutral
28585,negative
24690,negative
17169,positive
24564,negative
9560,neutral
38411,negative
24733,negative
28341,neutral
40871,neutral
18131,neutral
25059,neutral
33948,positive
12652,neutral
40172,neutral
13541,positive
25456,neutral
29602,negative
30337,negative
17506,neutral
22495,neutral
18889,negative
26765,positive
807,neutral
21930,neutral
18159,negative
77,negative
9971,negative
39341,negative
24840,negative
17987,negative
13183,neutral
10480,positive
27253,neutral
16164,positive
5608,neutral
12802,negative
30141,positive
318,neutral
3542,negative
1900,neutral
27978,neutral
6362,positive
43761,negative
26688,neutral
24068,neutral
5129,positive
30966,negative
36955,neutral
26440,positive
19765,negative
9849,negative
43731,neutral
6106,negative
13711,neutral
15352,negative
2705,neutral
21953,neutral
19792,neutral
30364,neutral
24344,neutral
19568,negative
13970,neutral
569,positive
34181,negative
40762,neutral
42260,neutral
13591,neutral
22506,negative
36543,neutral
28925,negative
34260,positive
31106,neutral
39852,negative
6974,negative
26631,neutral
1701,positive
17966,negative
22265,negative
30979,positive
9779,positive
38048,neutral
14967,positive
13078,neutral
22573,neutral
13427,neutral
32877,neutral
18864,neutral
24563,neutral
28776,neutral
33818,positive
17455,neutral
13310,positive
32728,neutral
26097,neutral
3624,negative
27416,negative
18675,neutral
6884,negative
12806,neutral
43038,negative
6204,positive
24089,negative
30568,neutral
16059,neutral
22655,positive
21807,neutral
24804,neutral
26011,negative
26793,negative
18849,neutral
16178,negative
26320,negative
39713,neutral
11959,negative
15371,neutral
28221,negative
34216,positive
29406,negative
36907,positive
21256,negative
16896,negative
10385,neutral
5153,negative
15104,negative
41599,negative
21085,negative
3833,positive
28563,positive
24769,positive
22414,positive
24468,negative
22548,negative
6602,positive
21043,negative
27277,neutral
27871,negative
44587,negative
17679,neutral
28523,positive
2265,negative
2042,neutral
19180,neutral
39013,negative
8059,neutral
12516,negative
14602,neutral
17008,neutral
14070,negative
13885,neutral
40807,neutral
36704,positive
26660,neutral
2780,negative
43962,negative
19968,neutral
36961,negative
35360,neutral
8445,neutral
29223,neutral
4742,neutral
12539,negative
38792,positive
27333,negative
9808,neutral
14650,positive
9914,negative
6376,positive
33032,negative
38393,negative
43796,negative
34234,negative
8190,neutral
14407,negative
24220,negative
41682,negative
743,neutral
17426,neutral
14864,neutral
42671,neutral
10473,negative
24698,neutral
38797,negative
2524,neutral
37726,negative
28256,negative
45071,negative
24784,neutral
145,negative
24077,positive
14785,neutral
39163,positive
28909,negative
13637,negative
42944,positive
24211,neutral
18809,positive
22770,neutral
20294,neutral
15282,positive
17364,neutral
15701,negative
34066,negative
23252,positive
28720,positive
30544,neutral
6706,negative
2722,negative
18280,neutral
17865,negative
1463,neutral
10669,negative
30488,negative
7532,neutral
32319,neutral
23450,neutral
11609,neutral
17191,neutral
19297,positive
29026,positive
5869,neutral
40435,neutral
42659,neutral
12784,negative
15499,positive
14423,neutral
12017,neutral
8032,neutral
22518,positive
17101,neutral
32637,neutral
10160,negative
42299,neutral
6828,negative
26392,positive
32759,negative
31519,positive
25079,negative
11483,negative
14635,negative
1977,negative
44067,neutral
10013,negative
35680,neutral
19484,positive
9419,neutral
15102,neutral
44880,negative
16045,neutral
39909,negative
39446,negative
5545,negative
28213,negative
15787,negative
4693,neutral
18722,negative
33810,neutral
35930,positive
9087,neutral
42603,neutral
28972,positive
9712,neutral
42663,positive
24106,positive
26235,negative
14521,neutral
36988,positive
41417,negative
31303,neutral
22036,positive
26729,positive
20052,negative
25679,negative
32683,positive
16275,neutral
19178,neutral
8641,neutral
16243,negative
462,neutral
16343,neutral
14218,neutral
15755,positive
11016,positive
20856,negative
45177,neutral
19511,neutral
6989,negative
28561,negative
26342,negative
17441,negative
16121,positive
7967,negative
18914,negative
18732,neutral
21687,positive
23418,positive
1179,neutral
23554,neutral
12024,negative
16595,neutral
24427,neutral
29006,neutral
7580,negative
32838,positive
3028,neutral
32805,positive
5109,positive
40920,negative
17429,negative
14158,negative
27313,negative
13579,negative
24687,neutral
35219,neutral
35716,neutral
15124,negative
30195,positive
9556,neutral
9600,neutral
24288,negative
44886,neutral
5012,neutral
7331,positive
9843,positive
37549,neutral
6568,positive
19252,neutral
36409,neutral
32790,negative
16544,negative
24318,negative
3463,neutral
28340,positive
24946,positive
38562,neutral
35537,neutral
38029,negative
43921,negative
13583,neutral
24133,positive
12599,neutral
31492,neutral
32807,neutral
1247,positive
22914,positive
3971,neutral
44230,positive
28608,negative
19680,neutral
28647,negative
27691,negative
10210,positive
11637,positive
40107,neutral
14951,negative
17656,neutral
13539,negative
14061,positive
14526,positive
42582,negative
33135,positive
30841,negative
17096,negative
36828,neutral
27924,negative
4903,neutral
41413,negative
14651,neutral
34148,negative
22413,negative
18570,neutral
22320,neutral
19969,positive
19476,positive
34357,neutral
13212,neutral
24388,neutral
5831,negative
38975,negative
18565,neutral
7626,neutral
21188,positive
35068,neutral
28544,positive
30275,positive
40301,negative
38861,positive
19504,positive
19507,positive
19391,neutral
34439,neutral
9345,neutral
37229,positive
43696,positive
16287,negative
1038,neutral
31067,negative
14130,negative
1419,neutral
22004,neutral
15611,neutral
12997,negative
17059,neutral
7702,positive
27000,negative
27478,neutral
837,neutral
17025,positive
21372,neutral
13964,neutral
24,negative
27643,neutral
35101,neutral
35202,neutral
22163,positive
6253,neutral
17826,negative
26155,positive
2882,negative
27139,neutral
41358,negative
16086,negative
13403,neutral
19272,positive
19890,neutral
3461,negative
14439,neutral
16435,negative
22295,positive
37107,negative
16966,neutral
35017,positive
22012,positive
13773,neutral
16885,negative
13138,neutral
41613,neutral
44216,negative
16454,negative
39304,positive
7217,positive
6359,negative
28029,negative
26382,positive
16016,negative
23935,neutral
40643,neutral
15764,negative
7697,neutral
38085,negative
19917,positive
19073,negative
22970,negative
30625,neutral
21386,neutral
8573,neutral
16685,positive
13873,negative
2276,neutral
38748,negative
13438,positive
2278,negative
18453,negative
11124,neutral
5150,negative
17260,negative
33622,neutral
18321,positive
28218,neutral
20207,neutral
469,positive
8246,negative
4229,neutral
17578,negative
23824,negative
41490,negative
8601,positive
42402,neutral
27305,neutral
12021,positive
7787,negative
15138,negative
45086,neutral
15366,neutral
21893,negative
23836,neutral
43973,neutral
22296,positive
24542,neutral
1246,neutral
32071,neutral
15113,negative
30765,neutral
797,neutral
10529,neutral
40329,neutral
36476,negative
34609,negative
27969,neutral
23669,negative
36576,neutral
19659,neutral
23726,positive
30903,neutral
34225,neutral
27377,positive
27072,positive
14293,positive
30971,negative
14828,positive
11705,neutral
40921,negative
25779,positive
27426,neutral
20404,positive
12559,negative
9865,negative
37512,neutral
6490,positive
24228,neutral
1767,negative
31976,positive
24413,positive
29819,neutral
10283,negative
3,negative
29767,positive
28868,neutral
30659,negative
996,neutral
12941,neutral
9753,positive
30217,neutral
12854,positive
17668,negative
8317,negative
33519,neutral
2698,neutral
26403,neutral
26292,neutral
34525,neutral
22281,neutral
22259,negative
1664,neutral
17281,negative
9112,neutral
28285,positive
5349,neutral
9772,negative
1537,negative
44014,neutral
42202,negative
20346,negative
3459,negative
44252,positive
28460,negative
42268,neutral
6921,negative
39077,neutral
19855,neutral
13795,negative
3954,positive
29781,positive
1415,neutral
43268,neutral
8359,neutral
3898,positive
39470,neutral
10900,neutral
4511,positive
13114,neutral
6412,neutral
15133,neutral
4396,positive
44013,neutral
34348,negative
12865,negative
33176,negative
35327,neutral
35193,negative
27315,neutral
36991,positive
13800,negative
22235,positive
5712,positive
32368,neutral
24581,neutral
44820,neutral
37456,positive
12763,positive
